Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header,startDiagnostic,stopDiagnostic
Tester Present,TesterPresent,3E,A,0,100,,"7,00E+00",,
COM Cylinder Power Balance Disable,Cyl Bal Off,AE180000000000,,,,,"7,00E+00",,
COM Cylinder 1 Power Balance,Cyl 1 Bal,AE188080000000,,,,,"7,00E+00",,
COM Cylinder 2 Power Balance,Cyl 2 Bal,AE188010000000,,,,,"7,00E+00",,
COM Cylinder 3 Power Balance,Cyl 3 Bal,AE188040000000,,,,,"7,00E+00",,
COM Cylinder 4 Power Balance,Cyl 4 Bal,AE188020000000,,,,,"7,00E+00",,
COM Fan 1 Speed,Fan 1 Spd,AE20000000C000 ,A,,,,"7,00E+00",,
COM Fan 2 Speed,Fan 2 Spd,AE20000000A000 ,A,,,,"7,00E+00",,
COM Fan 3 Speed,Fan 3 Spd,AE200000009000 ,A,,,,"7,00E+00",,
COM Fan Off,Fan Off,AE200000008000 ,A,,,,"7,00E+00",,
COM Swirl Flap 10%,Swirl 10%,AE158019000000,,,,,"7,00E+00",,
COM Swirl Flap 20%,Swirl 20%,AE158033000000,,,,,"7,00E+00",,
COM Swirl Flap 30%,Swirl 30%,AE15804C000000,,,,,"7,00E+00",,
COM Swirl Flap 40%,Swirl 40%,AE158066000000,,,,,"7,00E+00",,
COM Swirl Flap 50%,Swirl 50%,AE15807F000000,,,,,"7,00E+00",,
COM Swirl Flap 90%,Swirl 90%,AE1580E5000000,,,,,"7,00E+00",,
COM Alternator L-Terminal On,Alt L On,AE200C00000000,,,,,"7,00E+00",,
COM Alternator L-Terminal Off,Alt L Off,AE200800000000,,,,,"7,00E+00",,
COM Fuel Rail Pressure 34,Rail Pr 34,AE1A8000000D48,,,,,"7,00E+00",,
COM Fuel Rail Pressure 38,Rail Pr 38,AE1A8000000ED8,,,,,"7,00E+00",,
COM Engine Throttle Valve Closed,Thr Closed,AE1F80E3000000 ,A,,,,"7,00E+00",,
COM Engine Throttle Valve Open,Thr Open,AE1F801D000000,A,,,,"7,00E+00",,
COM Throttle Position 11%,Thr 11%,AE1F40001D0000,,,,,"7,00E+00",,
COM Throttle Position 50%,Thr 50%,AE1F4000800000,,,,,"7,00E+00",,
COM Throttle Position 89%,Thr 89%,AE1F4000E30000,,,,,"7,00E+00",,
COM EGR 0%,EGR 0%,AE1C8000000000 ,A,,,,"7,00E+00",,
COM EGR 10%,EGR 10%,AE1C8019000000 ,A,,,,"7,00E+00",,
COM EGR 25%,EGR 25%,AE1C8040000000 ,A,,,,"7,00E+00",,
COM EGR 50%,EGR 50%,AE1C807F000000 ,A,,,,"7,00E+00",,
COM MIL Indicator On,MIL On,AE20C000000000,,,,,"7,00E+00",,
COM MIL Indicator Off,MIL Off,AE208000000000,,,,,"7,00E+00",,
COM Piston Cooling Valve On,Pist Clg On,AE1000C0000000,,,,,"7,00E+00",,
COM Piston Cooling Valve Off,Pist Clg Off,AE100080000000,,,,,"7,00E+00",,
COM Oil Pressure Control Valve Closed,Oil Vlv Cls,AE100002000000,,,,,"7,00E+00",,
COM Oil Pressure Control Valve Open,Oil Vlv Opn,AE100003000000,,,,,"7,00E+00",,
COM Engine Speed 1000 RPM,RPM 1000,AE1440007D0000,,,,,"7,00E+00",,
