Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header,startDiagnostic,stopDiagnostic,Scale
A2: A14NET Humidity,B2: Humidity,222301,A*100/255,0,100,%,"7,00E+00",,,1
A3: A14NET Boost Pressure,B3: Boost Pressure,223298,(A*256+B)*0.01,0,636,kPa,"7,00E+00",,,
A4: A14NET Vacuum,B4: Vacuum,22150D,A*0.369+10.33,10,1000,kPa,"7,00E+00",,,
A5: A14NET Cylinder 1 Knock,B5: Cyl. 1 Knock,22157A,BIT(A:0),0,1,,"7,00E+00",,,
A6: A14NET Cylinder 2 Knock,B6: Cyl. 2 Knock,22157A,BIT(A:1),0,1,,"7,00E+00",,,
A7: A14NET Cylinder 3 Knock,B7: Cyl. 3 Knock,22157A,BIT(A:2),0,1,,"7,00E+00",,,
A8: A14NET Cylinder 4 Knock,B8: Cyl. 4 Knock,22157A,BIT(A:3),0,1,,"7,00E+00",,,
A9: A14NET IAT2,B9: IAT2,222006,A-40,-40,215,C,"7,00E+00",,,
A10: A14NET IAT3,B10: IAT3,222072,A-40,-40,215,C,"7,00E+00",,,
A11: A14NET IAT1,B11: IAT1,22000F,A-40,-40,215,C,"7,00E+00",,,
A12: A14NET Traction Control Ignition Retard,B12: Ignition Retard,22119C,A*90/255,0,90,deg,"7,00E+00",,,
A13: A14NET Total Knock Retard,B13: Knock Retard,2212D9,A*45/255,0,45,deg,"7,00E+00",,,
A14: A14NET Battery Voltage High Resolution,B14: Battery Volt.,222472,(A*256+B)*0.0005,0,33,V,"7,00E+00",,,
A15: A14NET Boost Pressure Sensor,B15: Boost Press. Sens.,223088,A/51,0,2,V,"7,00E+00",,,
A16: A14NET Injection Duration,B16: Injection Dur.,2212C3,(A*256+B)/66.6,0,1000,ms,"7,00E+00",,,
A17: A14NET Battery State of Functionality SoF,B17: Battery SoF,222477,A/20,0,12.8,V,"7,00E+00",,,
A18: A14NET Battery State of Charge SoC,B18: Battery SoC,222479,A*100/255,0,100,%,"7,00E+00",,,
A19: A14NET Battery State of Health SoH,B19: Battery SoH,222478,A*100/255,0,100,%,"7,00E+00",,,
A20: A14NET Battery Temperature,B20: Battery Temp.,222476,A-40,-40,215,C,"7,00E+00",,,
A21: A14NET Battery Current,B21: Battery Current,222475,(A*256+B - (BIT(A:7)*65535))/16,-2048,2048,A,"7,00E+00",,,
