Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header,startDiagnostic,stopDiagnostic
A20DTH Fuel Temperature,Fuel Temp,223218,A-40,-40,215,C,"7,00E+00",,
A20DTH Fuel Temperature Sensor,Fuel Temp Sens,22320C,A/51,0,5,V,"7,00E+00",,
A20DTH Glow Plug Command,Glow Plug Cmd,223221,BIT(A:7),0,1,,"7,00E+00",,
A20DTH Oil Pressure,Oil Pressure,221470,A*4,0,1020,kPa,"7,00E+00",,
A20DTH Crankshaft Sync Counter,Crank Sync,22115F,A,0,255,,"7,00E+00",,
A20DTH Cylinder 1 Pressure,Cyl 1 Press,2232AC,A*10,0,2550,kPa,"7,00E+00",,
A20DTH Cylinder 2 Pressure,Cyl 2 Press,2232AD,A*10,1,2551,kPa,"7,00E+00",,
A20DTH Cylinder 3 Pressure,Cyl 3 Press,2232AE,A*10,2,2552,kPa,"7,00E+00",,
A20DTH Cylinder 4 Pressure,Cyl 4 Press,2232AF,A*10,3,2553,kPa,"7,00E+00",,
A20DTH DPF Distance Since Last Regeneration,DPF Dist Regen,223277,A*65536+B*256+C,0,16777216,km,"7,00E+00",,
A20DTH DPF Distance Since Last Replacement,DPF Dist Repl,223276,A*65536+B*256+C,0,16777216,km,"7,00E+00",,
A20DTH DPF Differential Pressure,DPF Diff Press,223273,A,0,255,kPa,"7,00E+00",,
A20DTH DPF Differential Pressure Sensor,DPF Diff Sens,223035,A/51,0,5,V,"7,00E+00",,
A20DTH DPF Regeneration Status,DPF Regen Stat,223274,A*100/255,0,100,%,"7,00E+00",,
A20DTH DPF Soot Accumulation,DPF Soot,223275,A,0,255,%,"7,00E+00",,
A20DTH DPF Regeneration Interruption Counter,DPF Regen Int,223047,A*256+B,0,65535,,"7,00E+00",,
A20DTH Exhaust Gas Temperature 2 (EGT2),EGT 2,2230A9,(A*256+B)*0.1-40,-40,1000,C,"7,00E+00",,
A20DTH Exhaust Gas Temperature 1 (EGT1),EGT 1,22303B,(A*256+B)*0.1-40,-40,1000,C,"7,00E+00",,
A20DTH Cylinder 1 Correction (Fuel Balance),Cyl 1 Bal,2232B2,SIGNED(A)*0.1,-13,13,mm3,"7,00E+00",,
A20DTH Cylinder 2 Correction (Fuel Balance),Cyl 2 Bal,2232B3,SIGNED(A)*0.1,-13,13,mm3,"7,00E+00",,
A20DTH Cylinder 3 Correction (Fuel Balance),Cyl 3 Bal,2232B4,SIGNED(A)*0.1,-13,13,mm3,"7,00E+00",,
A20DTH Cylinder 4 Correction (Fuel Balance),Cyl 4 Bal,2232B5,SIGNED(A)*0.1,-13,13,mm3,"7,00E+00",,
A20DTH Desired Fuel Pressure,Des. Fuel Press,22308A,(A*256+B)*0.01,0,655,MPa,"7,00E+00",,
A20DTH Fuel Pressure Regulator Command Current,Fuel Reg Cur,22323E,(A*256+B),0,65535,mA,"7,00E+00",,
A20DTH Fuel Pressure Regulator Command,Fuel Reg Cmd,22323D,A*100/255,0,100,%,"7,00E+00",,
A20DTH Throttle Position,Throttle,2212B1,A+B/51,0,100,%,"7,00E+00",,
