"Name","ShortName","ModeAndPID","Equation","Min Value","Max Value","Units","Header","startDiagnostic","stopDiagnostic"
"B16DTH Одометр BCM","Одометр в BCM","1ADF","A*1024+B*4+C/64","0","1000000","km","241","ATCRA641","ATCRA7E8","1"
"Ручник Кнопка положение","Руч. Кнопка","22411D","LOOKUP(A:A:0='ЗАТЯНУТ':1='ОТПУЩ':2='НЕАКТИВ':3='НЕИСПР')","0","255","","254","ATCRA654","ATCRA7E8","1"
"Ручник Команда мотору","Руч. Команд.","224120","BIT(A:7)","0","255","","254","ATCRA654","ATCRA7E8","1"
"Ручник Мотор ШИМ","Руч. ШИМ","22411B","A*100/255","0","100","%","254","ATCRA654","ATCRA7E8","1"
"Ручник Напряжение аккум.","Руч. Напр.","228000","A*25/255","0","25","V","254","ATCRA654","ATCRA7E8","1"
"Ручник Позиция троса","Руч. Трос","224134","A*255+B","0","65535","","254","ATCRA654","ATCRA7E8","1"
"Ручник Причина отпускания","Руч. Прич. отп.","22C017","LOOKUP(A:A:0='НЕТ':1='ЦИКЛ_ЗАЖИГ':2='ПОРОГ_СКОР':3='ПОРОГ_СКОР':4='НАЖ_ПЕД_ТОРМ')","0","255","","254","ATCRA654","ATCRA7E8","1"
"Ручник Статус","Руч. Статус","22411E","LOOKUP(A:A:0='ОТПУЩ':1='ЗАТЯН':2='НЕИСПР':4='ОТПУСТ')","0","255","","254","ATCRA654","ATCRA7E8","1"
"Ручник Статус калибровки","Руч. Калибр.","224180","BIT(A:7)","0","255","","254","ATCRA654","ATCRA7E8","1"
"Ручник Счётчик циклов","Руч. циклы","224017","A*16777216+B*65536+C*256+D","0","4294967296","","254","ATCRA654","ATCRA7E8","1"
"Ручник Температура вычисленная","Руч. Темп.","22401B","A-40","-40","215","C","254","ATCRA654","ATCRA7E8","1"
"ABS Датчик давления в торм. сис-ме","Датчик давл. в торм. сис-ме","224070","A/51","0","5","V","243","ATCRA643","ATCRA7E8",""
"ABS Напряжение","Напряжение","22402D","A*0.067","0","17","V","243","ATCRA643","ATCRA7E8",""
"ABS Напряжение на насосе АБС","Напр. насос АБС","224071","A*0.067","0","17","V","243","ATCRA643","ATCRA7E8",""
"ABS Низкий уровень тормозной жидкости","Низкий ур. торм. жид.","224075","BIT(A:3)","0","1","","243","ATCRA643","ATCRA7E8",""
"ABS Педаль тормоза нажата","Тормоз нажат","224075","BIT(A:7)","0","1","","243","ATCRA643","ATCRA7E8",""
"ABS Переданный крутящий момент","Переданный крутящий момент","224030","A*100/255","0","100","%","243","ATCRA643","ATCRA7E8",""
"ABS Питание датчика вакуума","Питание датчика вакуума","224159","A/51","0","5","V","243","ATCRA643","ATCRA7E8",""
"ABS Сигнал поперечного ускорения","Сигнал попереч. уск.","22406D","A/51","0","5","V","243","ATCRA643","ATCRA7E8",""
"ABS Сигнал продольного передвижения","Сигнал прод. передв.","22406E","A/51","0","5","V","243","ATCRA643","ATCRA7E8",""
"ABS Сигнал скорости рысканья","Сигнал скор. рысканья","22406F","A/51","0","5","V","243","ATCRA643","ATCRA7E8",""
"ABS Скорость левого заднего колеса","Скор. ЛЗ колеса","224054","A*0.627451","0","160","km/h","243","ATCRA643","ATCRA7E8",""
"ABS Скорость левого переднего колеса","Скор. ЛП колеса","224051","A*0.627451","0","160","km/h","243","ATCRA643","ATCRA7E8",""
"ABS Скорость правого заднего колеса","Скор. ПЗ колеса","224053","A*0.627451","0","160","km/h","243","ATCRA643","ATCRA7E8",""
"ABS Скорость правого переднего колеса","Скор. ПП колеса","224052","A*0.627451","0","160","km/h","243","ATCRA643","ATCRA7E8",""
"ABS Требуемый крутящий момент","Требуемый крутящий момент","22402F","A*100/255","0","100","%","243","ATCRA643","ATCRA7E8",""
"ABS Угол поворота рулевого колеса","Угол руля","224031","(A*256+B - (BIT(A:7)*65535))*0.022","-500","500","deg","243","ATCRA643","ATCRA7E8",""
"STEER Крутящий момент от водителя","Кр. момент от водителя","2240AC","(A*256+B - (BIT(A:7)*65535))/256","-128","128","H·m","242","ATCRA642","ATCRA7E8",""
"STEER Напряжение аккумулятора","Напряжение","228078","A*0.1","0","44341","V","242","ATCRA642","ATCRA7E8",""
"STEER Скорость автомобиля","Скорость","2240BD","A","0","255","km/h","242","ATCRA642","ATCRA7E8",""
"STEER Сост. калиб. сис-мы резервн. питания","Сост. калиб. сис-мы резервн. питания","2240AF","BIT(A:6)","0","1","","242","ATCRA642","ATCRA7E8",""
"STEER Температура рассчитанная","Темп. рассч. ЭУР","22401B","A-40","-40","215","C","242","ATCRA642","ATCRA7E8",""
"STEER Угол поворота руля","Угол руля","224074","(A*256+B - (BIT(A:7)*65535))/16","-2048","2048","deg","242","ATCRA642","ATCRA7E8",""
"BCM Аккум. заряд","Аккум. заряд","2290F8","(A*256+B)*200/65535","0","200","%","241","ATCRA641","ATCRA7E8",""
"BCM Аккум. напряжение","Аккум. напр.","2290B1","(A*256+B)/1024","0","63.9","V","241","ATCRA641","ATCRA7E8",""
"BCM Ближний свет левый ШИМ","Ближний свет левый","2290C3","(A*256+B)*200/65535","0","200","%","241","ATCRA641","ATCRA7E8",""
"BCM Ближний свет левый ШИМ","Ближний свет левый","2290C4","(A*256+B)*200/65535","0","200","%","241","ATCRA641","ATCRA7E8",""
"BCM Габарит левый ШИМ","Габарит левый","2290C5","(A*256+B)*200/65535","0","200","%","241","ATCRA641","ATCRA7E8",""
"BCM Габарит правый ШИМ","Габарит правый","2290C7","(A*256+B)*200/65535","0","200","%","241","ATCRA641","ATCRA7E8",""
"BCM Датчик дождя","Датчик дождя","229027","BIT(A:3)","0","1","","241","ATCRA641","ATCRA7E8",""
"BCM Датчик наружного освещения","Датч. наруж. освещ.","2290B2","(A*256+B)*64/65535","0","64","V","241","ATCRA641","ATCRA7E8",""
"BCM Датчик положения педали тормоза","Датчик пед. торм.","22CA43","(A*256+B)*64/65535","0","64","V","241","ATCRA641","ATCRA7E8",""
"BCM Заданное давление в шинах зад загрузка","Зад. давление в шинах зад загрузка","1A12","(K*256+L)/16","0","4096","kPa","241","ATCRA641\ATFCSH241\ATFCSD300014\ATFCSM1","ATCRA\ATFCSM0",""
"BCM Заданное давление в шинах зад комфорт","Зад. давление в шинах зад комфорт","1A12","(C*256+D)/16","0","4096","kPa","241","ATCRA641\ATFCSH241\ATFCSD300014\ATFCSM1","ATCRA\ATFCSM0",""
"BCM Заданное давление в шинах зад ЭКО","Зад. давление в шинах зад ЭКО","1A12","(G*256+H)/16","0","4096","kPa","241","ATCRA641\ATFCSH241\ATFCSD300014\ATFCSM1","ATCRA\ATFCSM0",""
